app_text_history,Shipping Details
app_text_billing_details,Billing Details
app_text_same_as_shipping_details,Same as Shipping Address
app_text_summary,Order Summary
app_text_shipping_methods,Shipping Methods
app_text_comment,Order Comment
app_text_payment_summary,Payment Summary
app_text_proceed,Proceed To Payment
app_text_make_payment,Make Payment
app_text_congratulations,Congratulations
app_text_shipping_addresses,Shipping Address(s)
app_text_billing_addresses,Billing Address(s)
app_text_addresses,Address(s)
app_text_order_detail,Order Detail
app_text_update_personal,Update Personal Details
app_text_update_password,Update Password
app_text_current_password,Current Password
app_text_new_password,New Password
app_text_confirm_password,Confirm Password
app_text_cancel,Cancel
app_text_save,Save
app_text_order_ref,Order Reference
app_text_status,Status
app_text_placed,Placed On
app_text_reorder,Reorder
app_text_order_details,Order Details
app_text_status_history,Status History
app_text_shipping_address,Shipping Address
app_text_billing_address,Billing Address
app_text_order_summary,Order Summary
app_text_shipping_method,Shipping Method
app_text_payment_method,Payment Method
app_text_gift_wrapping,Gift Wrapping
app_text_no_shipping_address,No shipping address available!
app_text_no_order_details,No order details available!
app_text_signup,Sign Up
app_text_continue_guest,Continue as Guest
app_text_email,Email
app_text_password,Password
app_text_forgot_password,Forgot Password
app_text_login_social_account,You can login with social account.
app_text_login_with_google,Login with Google+
app_text_login_with_facebook,Login with Facebook
app_text_signup_with_google,Signup with Google+
app_text_signup_with_facebook,Signup with Facebook
app_text_msg_enter_valid_email,Please enter valid email!
app_text_msg_enter_email,Please enter email!
app_text_msg_enter_password,Please enter password!
app_text_msg_password_characters_less_than_3,Please enter password having characters more that or equal to 3!
app_text_msg_first_name,First Name
app_text_msg_last_name,Last Name
app_text_msg_dob,Date of Birth
app_text_msg_confirm_password,Confirm Password
app_text_msg_personal_details,Personal Details
app_text_msg_pass_not_matched,Password and confirm password do not matched!
app_text_sold_by,Sold By:
app_text_write_review,Write Review
app_text_view_review,View Review(s)
app_text_view_seller_products,View Seller Product(s)
app_text_wait,Please wait
app_text_loading,Loading data...
app_text_msg_went_wrong,Something went wrong. Please try again.
app_text_msg_no_internet_found,No internet connection found.
app_text_msg_no_internet_title,No Internet
app_text_msg_request,Request cannot be process. This might be because of slow internet connection.
app_text_msg_order_placed_email,Your order has been placed successfully. You will receive an email regarding the same.
app_text_msg_product_look,You can look for product(s) by their category.
app_text_msg_search_product,You can search any product in store by text or voice!
app_text_msg_view_cart,You can view shopping cart with quantity!
app_text_msg_logout,You are logout successfully!
app_text_msg_view_product,You can view product in list or grid mode!
app_text_msg_sort_product,You can sort product by their price!
app_text_msg_filter_product,You can filter product(s) as per your need!
app_text_text_next,Next
app_text_text_okay,Okay
app_text_required,Required
app_text_msg_rating,Please select rating
app_text_msg_add_cart,You can add product to shopping cart by simply clicking on the button \'Add to Cart\'!
app_text_msg_add_wishlist,You can add product to wishlist by simply clicking on the button \'Add to Wishlist\'!
app_text_msg_product_price,Product price has been updated!
app_text_msg_product_not_available,This product is not available for order!
app_text_msg_combination,This combination does not exist for this product. Please select another combination.
app_text_msg_product_no_stock,This product is not available in the desired quantity or not in stock!
app_text_msg_out_stock,Some of the products in the cart are not available in the desired quantity or not in stock. Please remove such product(s) from cart!
app_text_msg_checkout_products,You can checkout products in shopping cart by simply clicking on the button \'Continue to Checkout\'.
app_text_msg_apply_voucher,You can apply voucher to shopping cart!
app_text_msg_update_quantity,You can update quantity of product or remove it from shopping cart!
app_text_msg_view_details,You can view product details by clicking on product image!
app_text_msg_success,Success!
app_text_msg_failure,Failure!
app_text_msg_enter_quantity,Please enter quantity
app_text_quantity,Quantity
app_text_remove,Remove
app_text_customization_details,Customization Details
app_text_msg_add_address,You can add new shipping address by clicking on the button!
app_text_msg_update_address,You can update shipping address!
app_text_msg_select_address,You can select any shipping address by simply clicking on it!
app_text_select_address_text,*Please select shipping address to review your order.
app_text_msg_no_product,No products available!
app_text_msg_no_comment_available,No comment(s) available!
app_text_msg_reset_password,You can reset your password by clicking `Forget Password`
app_text_msg_login,You can login into the store from here!
app_text_msg_login_fb,You can also login into the store from your Facebook account!
app_text_msg_login_google,You can also login into the store from your Google account!
app_text_msg_update_profile,"You can update your profile details,shipping details or view your order details from here!"
app_text_product_info_and_care,Product Info and Care
app_text_download,Download
app_text_minimal_quantity,Minimal Quantity
app_text_seller_details,Seller Details
app_text_pack_content,Pack Content
